passage	question	qus_type	answer
考场外遇执勤警察爸爸 女儿飞奔相拥红了眼圈title: '视频：泪目！高考女儿遇到执勤爸爸 拥抱互相鼓劲',//标题source: '',//视频发布来源。如：新华网。});原标题：高考女儿考场外遇见执勤警察爸爸 飞奔相拥红了眼6月7日，广东佛山一民警在岗执勤时遇到参加高考的女儿，女儿飞奔过去给他一个拥抱，父女互相加油鼓气。佛山市南海分局巡警大队副大队长邝小毅表示，看到女儿既开心也替她紧张，因为看到女儿眼睛红红的，也希望女儿能考好一点。点击进入专题：责任编辑：张申	举出文中一件令人感动的事	42	女儿在考场外遇执勤警察爸爸
2015年卷陈盈瀚老师经常忙得像打仗一样，加班加点是家常便饭。在同事眼里，他就是一位工作狂。他常将自己的图书、电脑、照相机等借给学生使用；常带学生到野外去，采集标本，摄影创作，接受环保教育；每年必带学生去市青少年校外活动中心、气象站参观学习。在他的带动下，房道中心小学成立16个科普兴趣小组，大部分由陈盈瀚负责指导，各组天天有活动，还有自己的科普网页，利用寒暑假，编了《废物再生利用》《烙画》等63本小册子。陈盈瀚带领学生制作科普作品有5000多件，其中省、市级刊物刊登上百篇，获奖数居全市前茅。“陈盈瀚老师的科学课堂”在当地电视台作专题播出。陈盈瀚爱校如家、爱生如子。一天中午，他发现一位孩子下台阶时扭伤了脚，急忙把孩子背到医院，等到家长来了，才放心离开。平时，他还会采些草药为生病的孩子们煎熬喂食，为寄宿生煮饭，在双休日还常在家做些小吃，改善孩子们的伙食。学校的厕所一堵塞，他就会二话不说带上工具去处理，不怕脏，不怕累，将堵塞的垃圾抠出来。这种活几十年如一日地坚持着。2004年春季至2006年下半年，陈盈瀚的父亲重病在床，亲情和工作，他都没有舍弃。他用自己顽强的毅力挑起了家庭和事业这两副重担。2012年陈盈瀚妻子又患了癌症，病情较严重。他每天还是面带微笑，坚强而乐观地走进课堂、走到学生身边。工作之余，忙着带妻子寻医问药，照顾妻子的生活起居。面对重重困难，他忍受着常人无法忍受的磨难。在陈盈瀚的努力下，该校成为建瓯市首批科普教育基地、福建省科普教育基地、国家环保教育基地。2014年，陈盈瀚荣获福建省先进教师荣誉称号。（福建省文明办供稿）有一种感动是坚持，有一种美丽叫执着。你用30多年的无私奉献为孩子们点燃了受益一生的科学梦想。致敬词小传：陈盈瀚，1956年生，福建省建瓯市人，建瓯市房道中心小学科普教师。30多年来，陈盈瀚执着进取、精益求精，把一所乡镇中心小学打造成全省一流的特色科普学校。	陈盈瀚的行为有什么正面结果	33	把一所乡镇中心小学打造成全省一流的特色科普学校
2015年卷12年献血路，34本献血证，100次献血经历，见证了你知恩图报的赤子情怀，彰显了你助人为乐的浓情大爱。致敬词2015年10月14日上午，57岁的涪陵市民徐宗易健步走进涪陵区中心血站采血室，无偿捐献了1个治疗量的血小板。这是他第100次无偿献血，成为涪陵区首位无偿献血达到100次的市民。徐宗易的第一次无偿献血是在12年前，45岁的他献血200毫升。在那次献血中，徐宗易了解到献血的意义之后，他说道：“我献出一点血，换来的是别人生命的延续”。从那以后，徐宗易暗下决心，坚持每年多次无偿献血。当坚持成为一种习惯与责任，献血帮助他人就成为徐宗易生活中不可或缺的一部分。徐宗易无偿献血6年后遇见的一件事更加坚定了他“好人必有好报”的价值观。2009年，徐宗易的母亲患上癌症，在医院用血达到1.2万毫升。此时，徐宗易已献血6年，献血量达1万多毫升。根据相关政策，徐宗易找到涪陵区中心血站，报退了2万多元，这对他们家来说，减轻了很大一笔负担。徐宗易感慨地说道，“正因为有了很多无偿献血者，保证了血量的充足，才延长了我母亲的生命。也正因为我献了血，让我母亲在用血之际也得到了优惠。我想，这就是‘我为人人，人人为我’吧”。从那以后，徐宗易更加坚定了他的无偿献血之路。除此之外，他还带动周围的人加入到献血队伍中来。在他的影响下，他身边不少亲人、朋友也参与了无偿献血。还有不少朋友了解到他献血100次的义举后，也给自己定下了献血100次的目标，希望尽自己的力量，去帮助更多需要帮助的人。回顾12年献血路，徐宗易表示，在国家规定的年限里，在身体健康的前提下，会把献血路一直走下去。他也会以自己的言传身教，动员更多的人加入到无偿献血的队伍中，让这份关爱永远传递下去。（重庆市文明办供稿）小传：徐宗易，1958年生，重庆市涪陵区人，涪陵区国土局职工。累计献血32400毫升，两度获全国无偿献血奉献奖金奖。	如何评价徐宗易的行为？	43	他的行为是值得提倡学习的
父亲疑猥亵女儿 央视：变味的“父爱”需法律来管原标题：高铁上一父亲疑似猥亵女儿 变了味的“父爱”需要法律来管管最近，社交媒体上又曝出一起疑似亵童的事件。有网友爆料10月27日在G1402次高铁快到长沙南站时，见到一父亲猥亵自己的女儿。从网友拍摄的视频中可见男子抱着一个年纪大约五岁的小女孩，撩起女孩的衣服抚摸、亲吻。29日@南昌铁路公安局回应：通过实名制可以找到相关当事人，已开展相关工作。无论视频中的二人是否是亲生父女关系，在火车上这种开放的场合掀开孩子衣服亲吻都十分不雅，有猥亵之嫌。而且爆料还称，疑似女孩母亲和外婆的人就坐在男子旁边玩手机，二人对男子举动毫无反应。这不禁让人想起类似的事件。去年8月，南京南站候车室，一男子猥亵女童，其父母就在身边。经查，该男子段某某18岁，女童是段某某父母的养女。当时，男子的父母也是对于其行为视而不见。我们期待警方公布的调查结果，但也有必要对一些针对未成年人的越界行为保持足够警惕。无论结果如何都必须要说，正是由于对来自家庭成员的猥亵行为被公然漠视，导致一些遭受猥亵或性侵的孩子失去了对来自外人猥亵和性侵的判断力。如此一来，一旦遭遇了这样的“龌龊行为”，她们又有何能力去反抗而保护自己呢？根据中国少年儿童文化艺术基金会“女童保护”基金统计，2017年全年媒体公开报道的性侵儿童（14岁以下）案例378起中，其中明确表述人际关系的有349起，熟人作案209起，占比59.89%，家庭成员（父亲、哥哥、继父、祖父等）作案32起，占比15.31%。如此数据令人震惊。如果说女孩由于心智不成熟，无法判断什么样的行为属于亲友之间的正常肢体接触，那身为父母长辈，对于越界行为的漠视、纵容和无知就令人心觉不安了。这样的态度，是儿童防性侵教育的缺失，更是法律意识的淡薄。增强儿童自我保护和自我防范意识至关重要。对于遭受猥亵的儿童，无论是生理健康还是心理健康都会受到严重而深远的伤害。从心理方面而言，短期内可能会对男性产生恐惧感和不信任感，长远来看甚至会影响其婚恋观和择偶观。因此，对于类似猥亵行为必须零容忍。根据我国刑法第237条规定，以暴力、胁迫或者其他方法强制猥亵妇女或者侮辱妇女的，处五年以下有期徒刑或者拘役。聚众或者在公共场所当众犯前款罪的，处五年以上有期徒刑。猥亵儿童的，依照前两款的规定从重处罚。可见，视频中的父亲如果猥亵行为属实，就触碰了法律红线，应受到法律的惩罚。孩子是每一个家庭的未来。为保障家庭暴力、性暴力被外界及时发现，一些西方国家有强行报告制度，也有对弱势孩子的紧急庇护制度和相关的第三方庇护设施，而我国目前还没有建立类似制度。希望国家可以尽快建立相关制度，完善相关法律，为儿童架起防护伞，让越界的人得到应有的严惩。点击进入专题：男子疑似高铁猥亵女童？警方:父女关系不构成猥亵责任编辑：吴金明	文中父亲做了什么猥琐的事	11	涉嫌公共场合猥亵儿童
★主要事迹韩会林兄弟姐妹7个，她排行老六。1975年，大嫂去世丢下了3个孩子，当时大哥在外教书，顾不上照看孩子，照料孩子们的重担便落在了年老的母亲和正在读初中的韩会林身上，那年韩会林才15岁。不论是上学还是在家，孩子们总愿意跟着韩会林，她就肩上背一个，一手拉一个去上学，放学后再一起回家。1978年，正值花季的韩会林在丧母的悲痛中接过了抚养3个孩子的重任，同时还要照顾瘫痪在床的父亲和未成家的四哥和五弟。大哥提出将3个孩子带到学校随他生活。但孩子们摇着头，说愿意继续跟姑姑。1984年，瘫痪在床的父亲经过韩会林的悉心照料，在与病魔抗争7年多后去世。送走父亲，韩会林继续背起药箱，做村里的医生，当时乡卫生院选她到医院上班，但想到3个孩子，她毅然放弃了这一改变前途命运的“吃公饭”机会。1985年，大哥因病去世，3个孩子真的成了孤儿。也就是在那一年，为了3个孩子一再推迟结婚的“大姑娘”韩会林终于找到了婆家，嫁妆却是3个失去父母的侄儿侄女。1989年，韩会林迎来了女儿的出生。大哥的孩子们相继毕业，各自成家工作。可不幸再次降临，2007年五弟的两个孩子也成了孤儿。韩会林的五弟媳早在1999年就因病离世，当时女儿10岁，儿子3岁，韩会林咬咬牙，又把姐弟俩接了过来……（山西省晋中市文明办供稿）当年幼的儿女失去母爱的时候，你用宽厚的臂膀为孩子们遮风挡雨；在他们接到大学录取通知书的时候，你倾其所有，筹集学费；你内心的善良，折射出圣洁的光芒。◆致敬词◎小传韩会林韩会林，1960年生，山西省晋中市昔阳县人。一名普通农家妇女，40年如一日倾其所有，抚养5个侄儿侄女成人成才。	韩会林做了什么值得赞扬的事	11	40年如一日倾其所有，抚养5个侄儿侄女成人成才
ZHONGGUOHAORENZHUAN上册2016年卷水栗村是远近闻名的贫困村，村里的留守老人面临着看病难、看病贵的问题，许多老人有病不治或未治愈便放弃了。欧光明看在眼里、急在心里。为了能让村里的老人们病有所医，多年来，他坚持义务为本村的留守老人进行上门体检，并为他们建立了健康档案。行医45载，他一直坚持免费为村里的困难群众治病，他给自己定了一条规矩，凡是五保户、特困户一律免费救治。凡是前来问诊的病人家中有困难，他都免收或者为其垫付医药费，据不完全统计，仅是为五保户和特困户无偿救治的费用就多达30万元，总赠款高达50余万元。2006年“7·15”特大洪灾席卷湖南郴州，村民王爱国家的房子破损严重，家中79岁的老母亲更是因为受到惊吓病倒，危在旦夕。欧光明得知此事后不顾自身安危，冒着风雨将王爱国一家人接到自己家中，立即对老人家展开了救治。那段时期，王爱国一家居住在欧光明家中，直到政府的过渡性住房建成后，才从他家中搬出来。考虑到王爱国的家庭刚遭遇洪灾，欧光明不仅没有收王爱国一分钱水费、电费、伙食费，还婉言谢绝了为其老母亲救治的医疗费。2009年6月2日，是欧光明为李常清老人例行体检的日子，他像往常一样来到李常清老人家。刚进老人家门，发现老人脸色发紫、嘴唇发干，他马上意识到老人可能是突发冠心病、支气管哮喘，便立即紧急救治，将老人成功地从死神手上拉了回来。知晓老人家中困难，欧光明没有收取老人一分钱治疗费。“做一件好事容易，做一辈子好事却很难。”这句话欧光明不仅记在心头，更以实际行动践行着。他说，他活着一天，就会为村民的生活健康工作奋斗一天。（湖南省文明办供稿）◎欧光明欧光明，1951年生，湖南省资兴市人，兴宁镇黄鹤仙村（原水栗村）乡村医生，他扎根农村行医45载，为村民免费救治并免除医药费达50余万元，被村民誉为“健康守护神”。	谁的行为最优秀	23	欧光明
★主要事迹2013年11月，吴辉铭的父亲吴海刚在工作时不慎重度烧伤，全身烧伤面积达90%，一度生命垂危。第一次、第二次、第三次……从火海逃生的吴海刚，一次次经历着植皮的痛苦。然而，手术用到的遗体皮和猪皮，仅能在治疗初期起到保护皮肤的作用，无法再生；而自体皮移植中，吴海刚仅存的头皮又非常有限。主治医师石寒冰告知家属，最好的选择就是从直系亲属身上取皮移植。吴海刚的双亲年事已高，兄弟姐妹要么年纪大了，要么人在外地……吴辉铭的母亲张明荣和家人考虑着从直系亲属身上取皮移植的人选。“我来给爸爸植皮！”25岁的吴辉铭刚站出来。“不行，你还小，以后还有你的生活！”母亲心疼儿子，一千一万个不答应。“我多取一次，爸爸自己就少取一次。我年轻，皮割了还会长出来的呀！”吴辉铭一直做母亲的思想工作。2014年2月10日上午，吴辉铭和父亲先后被推进手术室。麻醉清醒后，吴辉铭第一句话就是问：“爸爸好吗？”做完手术的吴辉铭，每天直挺挺地躺在床上。只要头轻微一动，就感觉像有无数的针在扎。等恢复得好一点后，他去看望父亲，乐观的吴辉铭笑着对父亲说：“你要加油哦！”儿子一脸轻松，父亲却早已泪眼婆娑。“很多人做完一次割皮手术，就疼得不会再做第二次。”三六四医院副院长兼烧伤科主任李俊说，令他们没想到的是，吴辉铭又接连两次割皮救父。随着三次植皮手术的成功，目前父亲吴海刚身体75%的烧伤面积已经得到修复。	如何评价吴辉铭？	43	孝老爱亲。
山西一团伙冒充“部队领导”订盒饭 骗得百余万元原标题：团伙冒充“部队领导”订盒饭骗得百余万元，晋中警方抓获6人假冒部队领导打电话向餐馆订购大量盒饭，再以给餐馆介绍饭盒厂商的形式骗取定金。近段时间，一个诈骗团伙以这种方式实施诈骗20余起，先后骗得现金100余万元。8月22日，澎湃新闻（www.thepaper.cn）从山西省晋中市公安局城区分局获悉，该诈骗团伙6人已被警方刑事拘留，目前案件在进一步办理中。据晋中警方相关负责人介绍，4月初，晋中市公安局城区分局接到一名餐馆老板报案称，有人冒充“部队领导”给他打电话，称部队需要订购大量盒饭，等他接下大单正为一时拿不出这么多饭盒发愁的时候，该“领导”就出面帮他介绍盒饭厂家救急，在他向介绍的饭盒厂支付了3.6万元定金之后，厂家却消失了。城区分局接警后，认定这是一起电信诈骗案，当即成立了“4.20”电信诈骗专案组对案件展开调查。办案民警从资金流、电信流等方面展开深度研判，并调取了大量视频监控、活动记录等信息，经3个多月的侦查、梳理、摸排，最终确定嫌疑人为湖北省仙桃市的游某、尤某等6人。8月10日，专案组民警奔赴湖北仙桃市，在当地警方的配合下成功将6名犯罪嫌疑人抓获，查获银行卡百余张、手机卡10张、手机20余部等。据警方调查，自2019年3月份起，这6名犯罪嫌疑人采取甲地实施电话诈骗、乙地取款、丙地分赃的作案方式，先后在内蒙古呼和浩特、甘肃酒泉、山西太原、晋中等地以相同的方式实施诈骗20余起，共计骗取资金100余万元。目前，6名犯罪嫌疑人已被依法刑事拘留，案件还在进一步侦查中。责任编辑：王亚南	谁诈骗他人	21	游某、尤某等6人
ZHONGGUOHAORENZHUAN下册2016年卷致敬词2013年7月，刚进入峄城供电部工作的刘苹就被委以重任，负责营销GIS的全面工作，每天早晨6时就要带着定位仪器从单位赶赴每一个现场。为确保定位结果的准确度，她步行穿梭在城区的每个大街小巷中。每当结束一天的定位工作时，汗水已经流干了，脚步甚至抬不起来了，还要加班继续整理当天的计量箱定位数据。上班没几天，整个人变得又黑又瘦，但是当看到GIS定位率由全市第5名上升到第3、第2名，最后实现100%的时候，她觉得一切付出都很值得，所有的辛苦都烟消云散。2014年5月，刘苹已经怀有6个月的身孕，这个月，根据工作需要，她不仅负责之前的GIS定位工作，还接手了电费电价专责岗位。为了尽快熟悉新的工作，她利用晚间加班学习，很快便掌握了电费电价的相关业务知识，各项工作也相继有条不紊地开展起来。但是由于营销科人手较少，她担负的工作指标比较多，怀孕后期身体也相继出现了各种不适，晚上经常失眠，为了不影响工作，她咬着牙没有喊一声累，一直坚持到生产最后一刻。当孩子呱呱坠地后，在家里休产假哺育孩子的刘苹，了解到单位工作任务重、人手紧张的情况时，一下子坐不住了。她提前2个月回到工作岗位，扑下身子全力以赴地投入到工作中去。她火一样的工作热情赢得了同事们的交口称赞，2015年7月，她被推选为营业班班长。短短3年多的时间，她先后有6项专利获得国家授权。2015年度营业班实现零投诉服务，电费到账及时率、解款及时率、电子化对账率、营业厅服务规范率等各项指标均完成100%，在省公司排名第一。如今，刘苹继续带领她的班去实现一个又一个目标。（山东省文明办供稿）◎刘苹刘苹，1985年生，山东省枣庄市人。作为电力女工，她内强素质，外树形象，把全部身心倾注在“电力彩虹”事业中。作为电力系统的青年女工，她扎根基层，在平凡的岗位上，用自己的执着、坚守和奉献，点亮青春的火花。	谁坚守岗位	21	刘苹
·2015年2月诚实守信35年来，你凭着军人的执着与诚信，默默坚持照顾牺牲战友的双亲，无怨无悔，尽心尽力，兑现了一个军人的承诺。致敬词小传：范文山，1960年生，湖南省长沙县人，县城管局环卫局职工。为了一句平凡的承诺，35年来照顾牺牲战友的双亲。范文山1979年，范文山与同乡战友喻建平一同参加南疆战役，战役前范文山与喻建平口头约定：如果战役中一方牺牲，另一方要为对方父母尽儿女之孝。战斗结束后，战友喻建平光荣牺牲。1981年，范文山退伍回乡，为了遵守约定，他将自己与喻建平的承诺告诉了母亲，并作出了以后要把喻建平的父母亲当作亲生父母一样善待的决定。母亲十分赞赏他的决定，得到了全家的支持。母亲陪同范文山来到了烈士家。“建平不在了，我就是你们的亲儿子”，范文山扑通一声跪下，亲切地叫了两位老人一声“爸爸妈妈”。两家人顿时热泪盈眶，颤抖的双手抓在一起。从此，范文山多了一对父母，喻家多了一位孝顺懂事的儿子。从1981年至今，35载如一日，范文山坚持照顾已故战友喻建平的父母。每年逢大小节日、双亲寿辰、生病住院，范文山都亲自到老人身边照顾并为他们垫付医药费，从未缺席。2003年，喻父中风住院，范文山在老人床边端药递水，细致照料老父亲直至出院。喻父七十寿辰，范文山和妻子不仅接来喻建平全家与亲朋好友相聚，还陪他们参观瞻仰杨开慧烈士馆。喻母八十寿诞，范文山特地叫齐战友为其贺寿，让喻母十分开心。每年换季、节假日期间，范文山都要给两位老人添置新衣、新鞋。2012年，喻父病故，范文山帮忙一同料理后事。追悼会上，他声泪俱下亲唱一曲《父亲》，令所有在场的人无不为之动容。如今范家和喻家已亲如一家，他实现了当初的承诺。35年来，范文山不仅为拥军尽了力，更为和谐社会、和谐家庭作出了榜样。	文中谁做出了优秀的行为？	22	范文山.
ZHONGGUOHAORENZHUAN上册2016年卷在多年的经营中，岳淑莲始终遵循“顾客满意我荣耀”的宗旨和“用户是企业的上帝，信誉是企业的生命，质量是发展的根本”的行为准则。在“水货手机”超级暴利的时代，她毅然决然与正规外贸品牌手机商合作，严格恪守“正牌正品、假一赔十”的经营理念，严把产品进货关、质量关、销售关、服务关，在客户群中赢得了“正品公司”“平价公司”的美誉。正是靠着诚信经营，成就了今天70多家卖场、20多个专卖店、3个售后维修中心、1个客户服务中心、1000余家合作经销商，年营业额5亿元的企业规模。在不断发展壮大的同时，她还带领员工，热心参与社会公益事业，切实履行社会责任，多年来为五保户住房爱心工程、农村老人光彩幸福院建设及阳光助学、抗震救灾等爱心活动捐钱捐物达200多万元，解决千余人的就业问题。与此同时，她始终将诚信为本作为企业文化建设的核心内容，创立“员工困难救助基金”，先后资助困难员工10多万元；推出“孝行天下，大爱无疆”活动，设立“孝心基金”“教育成长基金”，累计为千余员工支出培训费200多万元；成立“大学生就业创业实习基地”，为见习生发放生活补贴10万余元，实现了“造福社会、回报国家”的创业初衷。（甘肃省文明办供稿）◎岳淑莲岳淑莲，1964年生，兰州悦达通讯有限公司董事长。创业至今30年，是诚信让她改变了命运，开辟了实现梦想的通道，是诚信将农家女塑造成今天的企业家。	岳淑莲的什么行为是值得提倡的？	11	诚信经营创业
轿车冲出路边护栏坠入江中 小伙纵身跳江救出司机title: '视频-轿车冲出路边护栏坠入江中 90后小伙纵身跳江救出司机',//标题source: '',//视频发布来源。如：新华网。});[轿车冲出路边护栏坠入江中 小伙纵身跳江救出司机]26日，陕西安康，一辆轿车撞开护栏坠入汉江，司机被困。90后小伙梅源恰好路过，从工人手中借来钉锤后跳入江中，击碎玻璃拽出被困司机。随后，司机被送医抢救。民警称，事发时车内仅司机一人，经救治已无大碍，已排除酒驾。为好心人点赞！责任编辑：余鹏飞	文中所有行为最暖心的行为	13	小伙纵身跳江救司机
1岁女童上早教1月后狂掉头发 家长质疑有人做手脚原标题：1岁女童上早教1个多月后狂掉头发，早教中心甲醛检测达标，家长质疑有人做手脚来源：红星新闻四川内江1岁多的小女孩上早教1个多月后开始掉头发，目前斑秃明显，母亲林女士为此怀疑内江的万达宝贝王早教中心可能甲醛超标。在内江市东兴生态环境局等部门介入后，7月12日，林女士拿到了第三方机构对早教中心进行的甲醛检测结果，结果显示早教中心甲醛未超标。1岁多的女儿被诊断为斑秃，林女士及家人带着孩子来早教中心协商解决然而，林女士对此表示不认可，并怀疑早教中心在检测封闭场地前做了手脚。因为，她在检测时发现早教中心地面、柜体等表面发现了疑似油状物，要求早教中心提供监控视频也无果。对此，早教中心未作出回应，市场监管部门则表示将协调生态环境部门再次检测。第三方检测早教中心甲醛未超标林女士在将此事反映到内江市东兴区政府及相关部门后，7月8日上午10时30分，内江市东兴生态环境局委托的四川中衡检测技术有限公司派员，对涉事早教中心进行了检测采样。在此之前，早教中心在林女士及相关部门的见证下，对场地进行了12小时封闭。检测人员在早教中心采样7月12日下午，林女士在内江市东兴生态环境局拿到了检测结果。检测结果显示，霍尔果斯万达教育科技有限公司内江分公司（万达宝贝王早教中心）的大厅及5间教室中心的甲醛检测结果均在小于和等于0.1mg/m3的标准限值内。也就是说，检测结果显示早教中心甲醛不超标。内江市东兴生态环境局委托第三方机构对早教中心进行的甲醛检测结果家属不认可检测结果质疑早教中心做了手脚对于该检测结果，林女士表示不认可。“我们要求检测室内空气质量五项指标，却只检测了甲醛。”林女士说，此外，她还怀疑早教中心在检测采样前做了手脚，影响检测结果。林女士称，7月7日晚封闭早教中心场所前，她便发现地面上有疑似油状物，尽管也向在场的生态环境部门工作人员提出了，但当时她只注意到如何封闭场地去了。直到第二天检测采样打开早教中心大门后，她发现早教中心的地面、柜体表面及绿植、书本上，都有疑似油状物。当时，她和朋友便向在场的生态环境、卫健等部门工作人员提出该问题，并要求取样检测该疑似油状物，但未果。林女士称，在检测前，早教中心连书本表面都出现了疑似油状物。林女士供图当时，红星新闻记者在场也询问了检测人员。检测人员表示，如短期内做了除甲醛治理，肯定会影响检测结果，且市面上能在较短时间内将甲醛降下去并影响检测的东西较多。林女士称，在检测前，早教中心地面、柜体表面等出现了疑似油状物。林女士供图更让林女士怀疑的是，在怀疑早教中心可能动了手脚后，她要求查看早教中心在封闭场地前一段时间内的监控视频。但经过多次协调及派出所民警、市场监管局工作人员介入后，她至今未能看到监控视频。“（早教中心）一会儿说要工程人员从成都来了后才看得到，一会儿提供密码后进去又看不到任何监控视频。”林女士说，而在此事发生前，如幼儿家长要查看监控视频，早教中心的工作人员都可以随时调出，供家长查看。“如果他们没有动手脚，那就应该把监控给我们看。何况在之前闹到派出所时，早教中心曾答应我们随时可以看监控。”“所以，我们希望再次检测。”林女士表示。对此，7月12日下午17时许，红星新闻记者来到涉事的万达宝贝王早教中心，欲了解疑似油状物及监控视频无法查看的相关情况，但早教中心工作人员均表示负责人不在，他们不知情。红星新闻记者多次拨打该早教中心校长电话，均无法接通。而在微信联系上该校长，并提出希望早教中心回应林女士两点质疑的采访请求后，截至当天19时30分记者发稿时，该校长也未作出任何回应。相关部门早教中心限期内未提交视频将协调再次检测对于林女士的质疑，内江市东兴生态环境局监测站负责人表示，只检测甲醛是领导要求。该局一负责处理此事的副局长则表示，东兴区已成立处置小组，他不便回应。内江市东兴区市场监管局多名相关负责人表示，在接到林女士的反映后，市场监管部门工作人员7月9日曾前往涉事早教中心，要求早教中心提供监控视频。但当天，工作人员根据早教中心提供的密码，在早教中心电脑上未找到任何监控视频。随后，市场监管部门要求早教中心在7月11日18时前提供监控视频，配合调查。然而，早教中心至今未提供监控视频。“我们联系了早教中心的负责人，但他却说现在不是多久能提供，而是说好像系统坏了，现在是‘能提供得了’和‘提供不了的事’。”检测人员在早教中心采样7月12日下午，内江市东兴区市场监管局再次致电早教中心负责人，约定对方在7月15日下午到市场监管部门对此作出解释。对于林女士对检测指标提出的疑问、对早教中心的怀疑以及对检测结果的不认可而要求再次检测，该局相关负责人还表示，他们将协调生态环境部门再次对早教中心的室内空气质量进行检测。红星新闻记者 | 姚永忠 摄影报道责任编辑：闫宏亮	举出文中一件不合理的行为	42	女童上早教1个多月后狂掉头发
美国一名男子谎报炸弹威胁 或面临最高10年监禁原标题：美国一名男子谎报炸弹威胁 或面临最高10年监禁 资料图海外网8月14日电 来自美国新墨西哥州的29岁男子兰德斯曾因谎称在学校和沃尔玛超市放置炸弹而被捕。近日，兰德斯认罪，他或将面临最高10年的监禁。据美联社报道，2018年5月，兰德斯谎称自己是特拉华州乔治敦市的居民，并声称在乔治敦市南部的一所小学和一家沃尔玛超市安装了炸弹。该事件的起因是兰德斯曾和来自乔治敦的一名男子在网上发生争执。美媒称，在8月12日对自己制造炸弹威胁一事认罪后，兰德斯将在11月接受审判，他或将面临最高10年的监禁。（海外网-美国-乔珊珊/实习编译-翁子凌）责任编辑：吴金明	兰德斯为什么被捕？	32	因为他谎称在学校和沃尔玛超市放置炸弹
男子嫌公交经过太吵 砸5辆公交车被拘15天原标题：嫌公交经过太吵影响休息，武汉一男子砸5辆公交车被拘15天春节期间5辆夜间行驶中的903路公交车，先后在光谷大学园路与三元路交会处附近被砸。2月26日，东新分局茅店派出所民警凭衣着特征，走访120余家企业，终于揪出砸车者唐某。据其交代，因认为公交车经过太吵影响休息，于是多次捡起路边石头扔向车窗。今年春节期间，光谷地区903路公交车司机向茅店派出所报警，称有人砸公交车窗，所幸事发在晚上9点以后，车上乘客较少，并未伤人。执勤民警立刻赶往位于大学园路与三元路交会处的事发地，见到了公交车司机。据描述，当车辆行驶至该路段后，隐约听到玻璃破碎的声响，随后有乘客反映车窗破裂，司机立即靠路边停车查看车辆受损情况。民警调取周边视频监控后发现，一名外套袖上有双条纹的男子从该路段走过，形迹可疑，当民警顺着线索继续寻找时，该男子却消失在黑夜之中。正当民警苦寻砸车男子时，时隔两日后同一路段同一时间段，903路公交再次遭袭，多辆公交903路晚班司机都反映在行驶至该路段时，车身有明显被砸的声音，鉴于车窗未破，司机没有下车。初步判断这是一起蓄意行为，在寻找视频资料无果后，茅店派出所副所长匡志红决定“拉网搜索”，在案发路段周边十公里范围内开展大走访。通过前期侦查，匡志红初步断定，该男子可能就在事发地附近活动，且衣着较为普通，有可能系周边打工人员。匡志红决定将搜寻范围放到周边的修理厂、宾馆和酒店。拿着嫌疑对象的照片，匡志红带着多名辅警兵分多路在事发地周边四处打听、寻找。一连多日寻找与辨认没有白费，2月26日，当侦查人员走访至该路段一酒店时，该店工作人员一眼就认出了嫌疑对象的穿着特征。“他最近常穿这件衣服，而且衣袖的特征我们这里的人都知道。”该酒店这名工作人员描述得很详细。在该酒店工作人员的指引下，匡志红带着其他警力，迅速将大白天仍在酒店宿舍熟睡的唐某抓获，并在其宿舍找到了他砸车时穿着的衣物。唐某交代，其为酒店守夜人员，专值夜班，白天基本在宿舍睡觉。因认为公交车开得太快，声音太嘈杂，影响休息，于是采取过激方式，在路边捡了一块石头扔车窗，一连几次砸了车窗也没事，谁料警察直接找上了门。目前，因涉嫌寻衅滋事，唐某已被东新警方茅店派出所予以行政拘留十五日处罚。来源：武汉晚报责任编辑：闫宏亮	唐某做了什么违法的行为	11	寻衅滋事
★主要事迹贺聪明出生在陕西绥德的贫困山村，1985年，初中毕业的她进国企当学徒，每月能挣35元。然而，3个弟弟一年需200多元的食宿学费，让父母难以承受。为了不让弟弟们辍学，她辞职当了小摊贩。每天凌晨四五点钟，到汽车站门口卖香烟、瓜子等杂货。当时，她有一半货是赊来，每次第一天赊货，第二天还款，再多赊点货，循环倒腾。一包一毛二的“羊群”烟，能挣2分钱。可就是一分分小利和一赊一还，让她彻底明白了诚信是金的道理，她也由小摊贩变成小店主，小店扩大为超市，再成为拥有4家星级酒店的公司总经理，公司成为全市餐饮行业的龙头企业。2009年，榆林市政府从上百家企业中筛选，她的公司被指定为政府“放心早餐”生产经营企业。为了让市民花3元吃饱、5元吃好，她每份早餐只挣几毛钱，同时坚持早餐质量有保障。一次生产基地突然停电6个多小时，冷冻的300多公斤肉融化变软，经化验还未变质，但已不符合食品安全生产的要求，贺聪明立即将其全部销毁，企业一下损失几千元。她说：“钱重要，但消费者的健康更重要。”2012年春，人大代表考察她的上万平方米的无菌食品生产基地，代表们看到择、洗、切、配、包、烹、蒸、煮道道加工都严格卫生，感慨地说：“比咱家的厨房还干净，加工食品确实有营养，又安全，又实惠。”现在她公司的早餐亭已经遍布榆林市6个县区，每天销售53个品种、15万份早餐、午餐，成为陕西第二大现代化食品生产配送企业。	贺聪明的什么行为是值得学习？	11	诚信经营。
